1,"Williamson vs Pine Forest",Football,"Alabama",9/10/2026,7:00pm,"The Williamson varsity football team has an away non-conference game @  Pine Forest (Pensacola, FL) today @ 7p.","/inter-state/football/game/pine-forest-pensacola-fl-vs-williamson-mobile-al/9-10-2026/?c=b48ca10a-920f-4d26-896f-6434b1a3086b","https://www.maxpreps.com/inter-state/football/game/pine-forest-pensacola-fl-vs-williamson-mobile-al/9-10-2026/?c=b48ca10a-920f-4d26-896f-6434b1a3086b","/football/al/126f?9/10/2026","Lions","Eagles","https://www.maxpreps.com/al/pine-forest-pensacola-fl/football/","https://www.maxpreps.com/al/williamson-mobile-al/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2F5%2F5%2F355baefa-ed80-4252-8fd0-e4d9f4383788.gif%3Fversion%3D638253706200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Ff%2F6%2F4%2Ff64eb451-c381-42d0-afd0-7e4a0143f336.gif%3Fversion%3D636391719600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
1,"Leilehua vs Kapolei",Football,"Hawaii",9/18/2026,7:30pm,"The Leilehua varsity football team has an away conference game @  Kapolei (HI) on Friday, September 18 @ 7:30p.","/hi/football/game/kapolei-vs-leilehua-wahiawa/9-18-2026/?c=82a087bb-bcd8-46ed-af3f-e2f04557d55f","https://www.maxpreps.com/hi/football/game/kapolei-vs-leilehua-wahiawa/9-18-2026/?c=82a087bb-bcd8-46ed-af3f-e2f04557d55f","/football/hi/a80?9/18/2026","Mighty Mules","Hurricanes","https://www.maxpreps.com/hi/kapolei/football/","https://www.maxpreps.com/hi/leilehua-wahiawa/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fc%2F6%2F3%2Fc6334860-f26b-4b39-aab8-aa1b0979c5b0.gif%3Fversion%3D639222177155136520%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Ff%2F9%2Ff%2Ff9f300a9-db33-40f0-9b03-b6461353fde1.gif%3Fversion%3D636374791200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
2,"&#x27;Aiea vs Waipahu",Football,"Hawaii",9/18/2026,7:30pm,"The &#x27;Aiea varsity football team has an away conference game @  Waipahu (HI) on Friday, September 18 @ 7:30p.","/hi/football/game/aiea-vs-waipahu/9-18-2026/?c=4c5fda2a-9ceb-49ef-bcb9-cf909ba633e5","https://www.maxpreps.com/hi/football/game/aiea-vs-waipahu/9-18-2026/?c=4c5fda2a-9ceb-49ef-bcb9-cf909ba633e5","/football/hi/5c2?9/18/2026","Na Alii","Marauders","https://www.maxpreps.com/hi/aiea/football/","https://www.maxpreps.com/hi/waipahu/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2Fa%2F6%2F5a63c32b-fc5b-4ff0-9414-5eca0cb9bbf2.gif%3Fversion%3D637051707600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2F4%2F2%2Fd42bcda7-875c-48fb-b5d4-e2d5a9ec1374.gif%3Fversion%3D635125128600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
3,"Moanalua vs Wai&#x27;anae",Football,"Hawaii",9/18/2026,7:30pm,"The Moanalua varsity football team has an away conference game @  Wai&#x27;anae (HI) on Friday, September 18 @ 7:30p.","/hi/football/game/moanalua-honolulu-vs-waianae/9-18-2026/?c=b83ec496-6e4c-454e-a872-615f6b5c15b6","https://www.maxpreps.com/hi/football/game/moanalua-honolulu-vs-waianae/9-18-2026/?c=b83ec496-6e4c-454e-a872-615f6b5c15b6","/football/hi/b0a?9/18/2026","Menehune","Sharks","https://www.maxpreps.com/hi/moanalua-honolulu/football/","https://www.maxpreps.com/hi/waianae/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F7%2Fc%2F4%2F7c409f79-6b27-4766-b184-73f997c8e462.gif%3Fversion%3D635949492000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fe%2Fe%2F6%2Fee62d3fc-229f-4308-b66a-159920cdf024.gif%3Fversion%3D636047751600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
4,"Lahainaluna vs Baldwin",Football,"Hawaii",9/18/2026,4:00pm,"The Lahainaluna varsity football team has a neutral non-conference game vs.  Baldwin (Wailuku, HI) on Friday, September 18 @ 4p.","/hi/football/game/baldwin-wailuku-vs-lahainaluna-lahaina/9-18-2026/?c=54d109bc-abc3-4615-b5f8-f2e7f0e538a8","https://www.maxpreps.com/hi/football/game/baldwin-wailuku-vs-lahainaluna-lahaina/9-18-2026/?c=54d109bc-abc3-4615-b5f8-f2e7f0e538a8","/football/hi/ecc?9/18/2026","Lunas","Bears","https://www.maxpreps.com/hi/baldwin-wailuku/football/","https://www.maxpreps.com/hi/lahainaluna-lahaina/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2F6%2F1%2F561fe199-7e28-4935-92dc-ddeef14eec75.gif%3Fversion%3D636176094600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2F6%2F1%2F561fe199-7e28-4935-92dc-ddeef14eec75.gif%3Fversion%3D636176094600000000%26amp%3Bwidth%3D64%26amp%3Bheight%3D64%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
5,"Kamehameha Hawai&#x27;i vs Hilo",Football,"Hawaii",9/18/2026,7:00pm,"The Kamehameha Hawai&#x27;i varsity football team has an away non-conference game @  Hilo (HI) on Friday, September 18 @ 7p.","/hi/football/game/hilo-vs-kamehameha-hawaii-keaau/9-18-2026/?c=340b4cb5-ad0b-4076-8864-e6b7697fb53d","https://www.maxpreps.com/hi/football/game/hilo-vs-kamehameha-hawaii-keaau/9-18-2026/?c=340b4cb5-ad0b-4076-8864-e6b7697fb53d","/football/hi/bc5?9/18/2026","Warriors","Vikings","https://www.maxpreps.com/hi/hilo/football/","https://www.maxpreps.com/hi/kamehameha-hawaii-keaau/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2F3%2F2%2F5327cc0e-3c2d-420f-85f7-5c991475fc6b.gif%3Fversion%3D635134251600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2F7%2F3%2F87353cea-2bbb-4cff-9166-a756384e4241.gif%3Fversion%3D636408311400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
6,"Kea&#x27;au vs Konawaena",Football,"Hawaii",9/18/2026,7:00pm,"The Kea&#x27;au varsity football team has an away conference game @  Konawaena (Kealakekua, HI) on Friday, September 18 @ 7p.","/hi/football/game/keaau-vs-konawaena-kealakekua/9-18-2026/?c=1b7cb123-0a6f-4172-8b3b-5233d4c3e741","https://www.maxpreps.com/hi/football/game/keaau-vs-konawaena-kealakekua/9-18-2026/?c=1b7cb123-0a6f-4172-8b3b-5233d4c3e741","/football/hi/b3b?9/18/2026","Cougars","Wildcats","https://www.maxpreps.com/hi/keaau/football/","https://www.maxpreps.com/hi/konawaena-kealakekua/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fb%2Fa%2F8%2Fba876711-a25f-4350-b8bb-9c101e1eb829.gif%3Fversion%3D637081956600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fb%2Fa%2F8%2Fba876711-a25f-4350-b8bb-9c101e1eb829.gif%3Fversion%3D637081956600000000%26amp%3Bwidth%3D64%26amp%3Bheight%3D64%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
7,"Waialua vs Castle",Football,"Hawaii",9/18/2026,7:00pm,"The Waialua varsity football team has an away conference game @  Castle (Kaneohe, HI) on Friday, September 18 @ 7p.","/hi/football/game/castle-kaneohe-vs-waialua/9-18-2026/?c=e3ddcedf-5dd5-46c0-8ef0-12259d9c44fe","https://www.maxpreps.com/hi/football/game/castle-kaneohe-vs-waialua/9-18-2026/?c=e3ddcedf-5dd5-46c0-8ef0-12259d9c44fe","/football/hi/9ab?9/18/2026","Bulldogs","Knights","https://www.maxpreps.com/hi/castle-kaneohe/football/","https://www.maxpreps.com/hi/waialua/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2F4%2F2%2F64284e6b-fd2f-45fb-bba8-373876b05858.gif%3Fversion%3D637311034800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2F4%2F2%2F64284e6b-fd2f-45fb-bba8-373876b05858.gif%3Fversion%3D637311034800000000%26amp%3Bwidth%3D64%26amp%3Bheight%3D64%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
8,"King Kekaulike vs Kamehameha Maui",Football,"Hawaii",9/18/2026,7:00pm,"The King Kekaulike varsity football team has an away conference game @  Kamehameha Maui (Pukalani, HI) on Friday, September 18 @ 7p.","/hi/football/game/kamehameha-maui-pukalani-vs-king-kekaulike-pukalani/9-18-2026/?c=18549479-19c7-4074-ad86-2a31d8693daf","https://www.maxpreps.com/hi/football/game/kamehameha-maui-pukalani-vs-king-kekaulike-pukalani/9-18-2026/?c=18549479-19c7-4074-ad86-2a31d8693daf","/football/hi/13ae?9/18/2026","Na Ali&#x27;i","Warriors","https://www.maxpreps.com/hi/kamehameha-maui-pukalani/football/","https://www.maxpreps.com/hi/king-kekaulike-pukalani/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fasset.maxpreps.io%2Fincludes%2Fimages%2Flogos%2Fmaxpreps-logo-white-2025.png","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fasset.maxpreps.io%2Fincludes%2Freact%2Fplay-on-logo.png"
9,"Kulanihako&#x27;i vs Maui",Football,"Hawaii",9/18/2026,7:00pm,"The Kulanihako&#x27;i varsity football team has a neutral non-conference game vs.  Maui (Kahului, HI) on Friday, September 18 @ 7p.","/hi/football/game/kulanihakoi-kihei-vs-maui-kahului/9-18-2026/?c=5ee6d4b1-6687-4f6c-82dd-341a34f3759f","https://www.maxpreps.com/hi/football/game/kulanihakoi-kihei-vs-maui-kahului/9-18-2026/?c=5ee6d4b1-6687-4f6c-82dd-341a34f3759f","/football/hi/cd6?9/18/2026","Manta Rays","Sabers","https://www.maxpreps.com/hi/kulanihakoi-kihei/football/","https://www.maxpreps.com/hi/maui-kahului/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F4%2Fb%2Fb%2F4bb21482-9d7a-4e64-89fd-25a8445c0bd9.gif%3Fversion%3D636560055000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F4%2Fb%2Fb%2F4bb21482-9d7a-4e64-89fd-25a8445c0bd9.gif%3Fversion%3D636560055000000000%26amp%3Bwidth%3D64%26amp%3Bheight%3D64%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
