No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Chicago Mt Carmel vs Nazareth Academy Lagrange Park",Football,"Illinois",09/04/2026,07:00 PM,"The Nazareth Academy Lagrange Park varsity football team has an away non-conference game @ Chicago Mt Carmel (Illinois) on Friday, September 4 @ 7p.","/il/football/game/chicago-mt-carmel-vs-nazareth-academy-lagrange-park/9-4-2026/?c=909b9c25-a977-4f7a-a0cc-ca6e2622ba8b","https://www.maxpreps.com/il/football/game/chicago-mt-carmel-vs-nazareth-academy-lagrange-park/9-4-2026/?c=909b9c25-a977-4f7a-a0cc-ca6e2622ba8b",4ae99df
2,"Homewood Flossmoor vs Lincoln Way East Frankfort",Football,"Illinois",09/04/2026,07:00 PM,"The Lincoln Way East Frankfort varsity football team has an away non-conference game @ Homewood Flossmoor (Illinois) on Friday, September 4 @ 7p.","/il/football/game/homewood-flossmoor-vs-lincoln-way-east-frankfort/9-4-2026/?c=947b60e2-9e6d-4387-bdf6-7dc5c2de5ca7","https://www.maxpreps.com/il/football/game/homewood-flossmoor-vs-lincoln-way-east-frankfort/9-4-2026/?c=947b60e2-9e6d-4387-bdf6-7dc5c2de5ca7",5fb7d65
3,"Chicago Academy Disney Ii vs Solorio Warriors Chicago",Football,"Illinois",09/04/2026,07:00 PM,"The Solorio Warriors Chicago varsity football team has an away non-conference game @ Chicago Academy Disney Ii (Illinois) on Friday, September 4 @ 7p.","/il/football/game/chicago-academy-disney-ii-vs-solorio-warriors-chicago/9-4-2026/?c=b11a8d5f-14d3-4a49-aaf7-73cb2f9b2c2b","https://www.maxpreps.com/il/football/game/chicago-academy-disney-ii-vs-solorio-warriors-chicago/9-4-2026/?c=b11a8d5f-14d3-4a49-aaf7-73cb2f9b2c2b",549fc3e
4,"Agricultural Science Chicago vs Comer Chicago",Football,"Illinois",09/04/2026,07:00 PM,"The Comer Chicago varsity football team has an away non-conference game @ Agricultural Science Chicago (Illinois) on Friday, September 4 @ 7p.","/il/football/game/agricultural-science-chicago-vs-comer-chicago/9-4-2026/?c=7625da99-9cf4-44ee-b25f-cc8e476526cc","https://www.maxpreps.com/il/football/game/agricultural-science-chicago-vs-comer-chicago/9-4-2026/?c=7625da99-9cf4-44ee-b25f-cc8e476526cc",6d296cb
5,"Rauner Chicago vs Uic College Prep Unknown Chicago",Football,"Illinois",09/04/2026,07:00 PM,"The Uic College Prep Unknown Chicago varsity football team has an away non-conference game @ Rauner Chicago (Illinois) on Friday, September 4 @ 7p.","/il/football/game/rauner-chicago-vs-uic-college-prep-unknown-chicago/9-4-2026/?c=5479e970-cc20-43b5-ac39-45356536e992","https://www.maxpreps.com/il/football/game/rauner-chicago-vs-uic-college-prep-unknown-chicago/9-4-2026/?c=5479e970-cc20-43b5-ac39-45356536e992",307b33d
6,"Christian Fenger Academy Chicago vs Richards Chicago",Football,"Illinois",09/04/2026,07:00 PM,"The Richards Chicago varsity football team has an away non-conference game @ Christian Fenger Academy Chicago (Illinois) on Friday, September 4 @ 7p.","/il/football/game/christian-fenger-academy-chicago-vs-richards-chicago/9-4-2026/?c=6424735e-22fe-4133-9135-170b7420fad3","https://www.maxpreps.com/il/football/game/christian-fenger-academy-chicago-vs-richards-chicago/9-4-2026/?c=6424735e-22fe-4133-9135-170b7420fad3",7fe04c2
7,"Chicago Military Academy vs Pritzker Chicago",Football,"Illinois",09/04/2026,07:00 PM,"The Pritzker Chicago varsity football team has an away non-conference game @ Chicago Military Academy (Illinois) on Friday, September 4 @ 7p.","/il/football/game/chicago-military-academy-vs-pritzker-chicago/9-4-2026/?c=4f00c42d-0da8-4f31-b0b1-366dfb7eed82","https://www.maxpreps.com/il/football/game/chicago-military-academy-vs-pritzker-chicago/9-4-2026/?c=4f00c42d-0da8-4f31-b0b1-366dfb7eed82",0227b7e
8,"East Moline United vs Galesburg",Football,"Illinois",09/04/2026,07:00 PM,"The Galesburg varsity football team has an away non-conference game @ East Moline United (Illinois) on Friday, September 4 @ 7p.","/il/football/game/east-moline-united-vs-galesburg/9-4-2026/?c=6f3e7045-65fb-455c-af92-0fd013b3db97","https://www.maxpreps.com/il/football/game/east-moline-united-vs-galesburg/9-4-2026/?c=6f3e7045-65fb-455c-af92-0fd013b3db97",2b9f313
9,"Lake View Chicago vs Senn Chicago",Football,"Illinois",09/04/2026,07:00 PM,"The Senn Chicago varsity football team has an away non-conference game @ Lake View Chicago (Illinois) on Friday, September 4 @ 7p.","/il/football/game/lake-view-chicago-vs-senn-chicago/9-4-2026/?c=4c1566d6-a519-4253-9490-04cf19008200","https://www.maxpreps.com/il/football/game/lake-view-chicago-vs-senn-chicago/9-4-2026/?c=4c1566d6-a519-4253-9490-04cf19008200",4208c50
10,"Chicago Sullivan vs Mather Chicago",Football,"Illinois",09/04/2026,07:00 PM,"The Mather Chicago varsity football team has an away non-conference game @ Chicago Sullivan (Illinois) on Friday, September 4 @ 7p.","/il/football/game/chicago-sullivan-vs-mather-chicago/9-4-2026/?c=f297d44d-a595-44a4-905e-75476ba40c25","https://www.maxpreps.com/il/football/game/chicago-sullivan-vs-mather-chicago/9-4-2026/?c=f297d44d-a595-44a4-905e-75476ba40c25",a73e2a2
11,"Geneseo vs Rock Island",Football,"Illinois",09/04/2026,07:00 PM,"The Rock Island varsity football team has an away non-conference game @ Geneseo (Illinois) on Friday, September 4 @ 7p.","/il/football/game/geneseo-vs-rock-island/9-4-2026/?c=dc3711b9-c35c-4775-b082-732cb70128aa","https://www.maxpreps.com/il/football/game/geneseo-vs-rock-island/9-4-2026/?c=dc3711b9-c35c-4775-b082-732cb70128aa",1c09f81
12,"Milledgeville vs Orangeville",Football,"Illinois",09/04/2026,07:00 PM,"The Orangeville varsity football team has an away non-conference game @ Milledgeville (Illinois) on Friday, September 4 @ 7p.","/il/football/game/milledgeville-vs-orangeville/9-4-2026/?c=4589ca05-4b79-4f32-8202-20f153ef7aef","https://www.maxpreps.com/il/football/game/milledgeville-vs-orangeville/9-4-2026/?c=4589ca05-4b79-4f32-8202-20f153ef7aef",bff15c4
13,"Joliet Central vs Joliet West",Football,"Illinois",09/04/2026,07:00 PM,"The Joliet West varsity football team has an away non-conference game @ Joliet Central (Illinois) on Friday, September 4 @ 7p.","/il/football/game/joliet-central-vs-joliet-west/9-4-2026/?c=126b498e-b465-47a2-a57c-5353bcc4240c","https://www.maxpreps.com/il/football/game/joliet-central-vs-joliet-west/9-4-2026/?c=126b498e-b465-47a2-a57c-5353bcc4240c",9497142
14,"Bloom Chicago Heights vs Thornridge Dolton",Football,"Illinois",09/04/2026,07:00 PM,"The Thornridge Dolton varsity football team has an away non-conference game @ Bloom Chicago Heights (Illinois) on Friday, September 4 @ 7p.","/il/football/game/bloom-chicago-heights-vs-thornridge-dolton/9-4-2026/?c=37f7b5af-673f-4edc-a9dd-59ee321a2dd8","https://www.maxpreps.com/il/football/game/bloom-chicago-heights-vs-thornridge-dolton/9-4-2026/?c=37f7b5af-673f-4edc-a9dd-59ee321a2dd8",8928bba
15,"Kankakee vs Rich Township Olympia Fields",Football,"Illinois",09/04/2026,07:00 PM,"The Rich Township Olympia Fields varsity football team has an away non-conference game @ Kankakee (Illinois) on Friday, September 4 @ 7p.","/il/football/game/kankakee-vs-rich-township-olympia-fields/9-4-2026/?c=29598e37-c008-4aa8-b2cb-6f39d238909a","https://www.maxpreps.com/il/football/game/kankakee-vs-rich-township-olympia-fields/9-4-2026/?c=29598e37-c008-4aa8-b2cb-6f39d238909a",323fbcf
16,"Bradley Bourbonnais vs Stagg Palos Hills",Football,"Illinois",09/04/2026,07:00 PM,"The Stagg Palos Hills varsity football team has an away non-conference game @ Bradley Bourbonnais (Illinois) on Friday, September 4 @ 7p.","/il/football/game/bradley-bourbonnais-vs-stagg-palos-hills/9-4-2026/?c=0044cd69-696f-40ff-a3c5-e1e0cdf46efd","https://www.maxpreps.com/il/football/game/bradley-bourbonnais-vs-stagg-palos-hills/9-4-2026/?c=0044cd69-696f-40ff-a3c5-e1e0cdf46efd",488ce69
17,"Hillcrest Country Club Hills vs Thornton Fractional North Calumet City",Football,"Illinois",09/04/2026,07:00 PM,"The Thornton Fractional North Calumet City varsity football team has an away non-conference game @ Hillcrest Country Club Hills (Illinois) on Friday, September 4 @ 7p.","/il/football/game/hillcrest-country-club-hills-vs-thornton-fractional-north-calumet-city/9-4-2026/?c=ccb21e50-a7d3-4ca7-92e7-7605a1170f1a","https://www.maxpreps.com/il/football/game/hillcrest-country-club-hills-vs-thornton-fractional-north-calumet-city/9-4-2026/?c=ccb21e50-a7d3-4ca7-92e7-7605a1170f1a",7aa59b3
18,"Crete Monee vs Thornton Harvey",Football,"Illinois",09/04/2026,07:00 PM,"The Thornton Harvey varsity football team has an away non-conference game @ Crete Monee (Illinois) on Friday, September 4 @ 7p.","/il/football/game/crete-monee-vs-thornton-harvey/9-4-2026/?c=c5e5988a-1050-41f8-9517-ab1e84c3ac5c","https://www.maxpreps.com/il/football/game/crete-monee-vs-thornton-harvey/9-4-2026/?c=c5e5988a-1050-41f8-9517-ab1e84c3ac5c",821dde3
19,"Clark Chicago vs Julian Chicago",Football,"Illinois",09/04/2026,07:00 PM,"The Julian Chicago varsity football team has an away non-conference game @ Clark Chicago (Illinois) on Friday, September 4 @ 7p.","/il/football/game/clark-chicago-vs-julian-chicago/9-4-2026/?c=5d769920-86ac-4c25-aed5-2e6d7eddc1e1","https://www.maxpreps.com/il/football/game/clark-chicago-vs-julian-chicago/9-4-2026/?c=5d769920-86ac-4c25-aed5-2e6d7eddc1e1",d5997d2
